,city_cld,city_hum,city_lat,city_temp,city_wnd
san ignacio,90,100,-36.8,50,8.05
aviles,90,88,43.55,66.2,12.75
burnie,0,100,-41.05,51.81,22.84
aleppo,0,91,36.2,71.61,11.77
dikson,32,82,73.51,47.31,19.6
punta arenas,90,100,-53.16,33.8,3.36
saldanha,8,54,41.42,60.81,6.17
vaini,92,99,15.34,69.72,9.19
mataura,100,82,-46.19,44.25,3.94
hermanus,68,98,-34.42,43.35,8.19
huarmey,0,89,-10.07,53.7,3.71
faanui,0,100,-16.48,80.11,12.77
olean,1,94,42.08,69.37,3.36
ormara,32,91,25.21,81.06,7.63
rikitea,56,98,-23.12,75.61,4.16
lahaina,40,58,20.87,81.07,14.99
port blair,80,100,11.67,81.87,26.87
chapais,75,82,49.78,64.4,3.36
san patricio,0,81,-26.98,43.8,2.93
port alfred,0,91,-33.59,56.76,15.79
sur,80,79,22.57,87.04,6.4
upernavik,92,87,72.79,41.86,32.79
panzhihua,76,68,26.59,73.27,2.15
bluff,80,22,-23.58,68.73,12.21
ushuaia,90,100,-54.81,32,11.41
tuktoyaktuk,90,81,69.44,44.6,6.93
chicama,90,88,-7.84,62.6,8.05
cape town,75,81,-33.93,48.2,3.36
barrow,88,50,-38.31,60.27,18.7
new norfolk,20,46,-42.78,53.6,17.22
karakol,32,51,42.49,65.67,3.04
gat,8,96,14.69,72.24,6.51
ornskoldsvik,0,93,63.29,48.2,8.05
sisimiut,76,92,66.94,43.12,1.59
chokurdakh,0,91,70.62,43.35,9.19
busselton,8,96,-33.64,62.16,15.79
khatanga,8,97,71.98,51,9.64
struthers,1,100,41.06,74.05,3.36
puerto ayora,88,100,-0.74,69.9,13.33
yellowknife,90,82,62.45,64.4,3.36
suruc,0,64,36.98,73.4,6.93
avarua,75,83,-21.21,78.8,19.46
portland,75,45,45.52,81.68,11.41
hobart,20,46,-42.88,53.6,17.22
carnarvon,36,94,-30.97,31.38,11.1
mehamn,75,76,71.03,48.2,21.92
benicarlo,0,99,40.42,81.33,7.4
lebu,75,100,8.96,55.4,2.24
kapaa,90,78,22.08,83.52,16.11
petropavlovsk-kamchatskiy,40,72,53.05,68,13.42
torbay,90,93,47.66,57.2,8.05
bredasdorp,56,81,-34.53,44.6,10.29
iqaluit,90,100,63.75,42.8,5.82
banda aceh,0,66,5.56,85.06,6.29
vardo,1,78,39.62,76.21,4.7
mikhaylovka,92,100,52.96,52.8,4.16
chuy,0,92,-33.69,49.02,11.99
luderitz,0,89,-26.65,49.38,7.18
albany,20,65,42.65,75.99,4.7
porsa,20,71,58.24,57.2,6.93
mount gambier,92,84,-37.83,51.22,8.52
ponta do sol,68,95,-20.63,57.84,2.93
terrace bay,68,83,48.78,54.6,6.85
constitucion,90,68,23.99,66.2,5.82
nador,0,68,35.17,73.72,2.24
marienburg,0,63,52.12,63.07,6.93
brae,88,82,60.4,55.4,12.75
tasiilaq,68,80,65.61,41,6.93
tuatapere,44,87,-46.13,52.84,17.36
napanee,20,94,44.25,72.54,4.7
vila franca do campo,75,68,37.72,69.8,5.82
kalabo,0,56,-15,53.07,4.61
vila velha,40,83,-3.71,78.8,11.41
bambous virieux,75,53,-20.34,71.6,11.41
kutum,44,96,14.2,62.88,3.71
bethel,90,93,60.79,57.2,10.29
gornopravdinsk,32,88,60.06,63.33,10.2
dawlatabad,0,36,36.41,81.87,6.17
sambava,56,100,-14.27,72.46,9.53
sassandra,44,100,4.95,76.29,13.22
coihaique,80,100,-45.58,30.2,2.24
pevek,24,100,69.7,41.41,12.88
san quintin,75,66,17.54,87.8,4.7
kamenka,36,59,53.19,73.09,3.49
miandrivazo,0,82,-19.53,51.27,1.59
te anau,48,73,-45.41,47.49,11.65
salvador,40,78,-12.98,77,8.05
ugoofaaru,76,98,5.67,83.17,18.59
guerrero negro,0,70,27.97,75.93,7.52
leningradskiy,20,100,69.38,35.07,9.42
nantucket,40,100,41.28,74.86,8.05
el alto,75,64,-16.5,37.4,2.24
santa maria,0,100,-29.69,46.4,3.36
arraial do cabo,92,100,-22.97,65.76,8.08
castro,36,100,-42.48,41.01,5.61
thompson,75,93,55.74,60.8,5.82
zwedru,80,91,6.07,70.35,7.4
esperance,20,88,10.24,78.8,5.82
porto novo,75,100,-23.68,57.2,3.36
butaritari,64,100,3.07,79.53,3.49
vondrozo,32,93,-22.82,54.78,2.82
east london,0,46,-33.02,53.6,9.17
atuona,64,99,-9.8,79.89,19.04
opuwo,0,66,-18.06,49.38,3.94
qaanaaq,76,85,77.48,39.21,13.22
port elizabeth,1,94,39.31,78.24,10.98
alofi,40,61,-19.06,77,14.99
honningsvag,75,81,70.98,48.2,23.04
souillac,0,68,45.6,71.8,3.38
kingaroy,80,46,-26.54,60.18,15.35
smestad,0,100,59.94,51.8,1.12
pasni,8,98,25.26,81.51,5.5
barranca,44,100,-10.75,60.27,13
laguna,32,68,27.52,87.36,1.92
arica,90,72,-18.48,57.88,1.12
kiunga,24,82,-6.12,81.37,2.93
noshiro,75,68,40.21,71.6,11.41
ribeira grande,0,100,38.52,70.39,8.08
saint-philippe,90,88,45.36,72.97,8.05
nioro,8,92,13.79,75.34,7.74
saint-francois,0,72,46.42,68,5.39
sondrio,75,87,46.17,66.87,5.82
palmer,40,66,-34.85,55.4,20.8
mogzon,0,80,51.74,65.89,7.4
prabumulih,56,52,-3.5,86.37,7.29
kahului,20,66,20.89,80.44,26.4
san juan tilapa,90,82,19.22,58.42,4.7
tual,20,100,-5.67,78.54,10.42
lucapa,0,75,-8.42,56.4,2.59
sarangani,68,98,5.4,83.76,14.56
mahebourg,75,53,-20.41,71.6,11.41
buffalo,90,83,42.89,75.13,8.05
roald,68,87,62.58,57.99,6.93
hobyo,36,74,5.35,74.31,15.79
salalah,75,94,17.01,77,4.7
egvekinot,80,78,66.32,50.41,2.04
jamestown,88,98,-33.21,47.44,15.46
goroka,88,73,-6.07,66.52,1.36
aklavik,90,71,68.22,51.8,2.24
visnes,92,93,59.36,61.36,8.05
labuan,75,78,5.28,85.15,3.36
dubai,44,41,25.27,91.4,4.7
airai,0,44,-8.93,83.17,1.81
gao,32,96,16.28,76.56,3.49
lafia,92,98,8.5,69.54,4.27
krutikha,0,73,53.96,62.02,6.17
cockburn town,20,99,21.46,82.23,19.71
mar del plata,92,98,-46.43,42.45,0.25
hasaki,75,94,35.73,74.35,19.46
karratha,0,14,-20.74,73.05,13.78
dingle,92,100,11,74.44,9.98
tura,64,93,25.52,80.97,1.7
umm kaddadah,44,96,13.6,65.44,3.6
bani,92,100,15.89,77.55,7.74
cherskiy,64,58,68.75,50.28,6.85
la ronge,90,82,55.1,66.2,4.7
yar-sale,80,82,66.83,56.22,15.46
tuy hoa,92,79,13.08,85.02,16.46
independence,1,61,39.09,80.35,6.29
doha,32,29,25.29,100.4,11.41
georgetown,40,94,6.8,75.2,4.7
nikolskoye,75,87,59.7,57.2,8.95
husavik,0,84,50.56,60.54,5.17
mount isa,0,15,-20.73,68,12.75
wattegama,100,100,7.35,70.21,4.83
auki,76,96,12.18,68.59,4.94
dharchula,56,93,29.85,59.14,1.14
mandera,0,65,3.94,73.36,10.76
lodwar,12,74,3.12,68.73,1.36
hilo,75,69,19.71,77.61,9.17
cotonou,40,83,6.37,77,12.75
buala,8,78,-8.15,84.12,4.83
nishihara,90,94,35.74,71.62,14.99
basco,1,83,40.33,77.4,6.93
kawalu,24,64,-7.38,73.23,2.82
shetpe,0,48,44.14,71.61,1.7
coquimbo,90,87,-29.95,53.6,3.36
port lincoln,88,88,-34.72,58.06,24.96
nizwa,20,27,22.93,81.01,1.59
bubaque,88,100,11.28,79.12,13.67
saint-pierre,0,52,48.95,67.01,6.93
ilheus,75,88,-14.79,75.2,2.24
baker city,1,29,44.77,75.2,10.29
innisfail,75,52,52.02,69.8,3.36
batagay-alyta,0,55,67.8,60.54,4.16
phan thiet,80,96,10.93,80.88,14
provideniya,90,87,64.42,48.2,4.47
argostolion,0,77,38.18,70.05,4.5
nuuk,75,76,64.17,48.2,2.24
mindelo,90,93,41.31,65.37,11.41
davila,75,66,18.47,87.8,4.7
susurluk,20,88,39.91,74.37,4.7
touros,88,94,-5.2,74.89,12.21
saint george,0,60,39.45,69.8,5.82
otaru,0,73,43.18,72.42,4.72
camacha,75,78,33.08,71.6,16.11
maragogi,68,94,-9.01,73.68,8.3
arman,90,87,59.7,59,4.47
sovetskiy,20,81,56.76,63.24,10.2
mujiayingzi,100,93,42.12,67.96,3.6
callaway,1,82,46.98,62.6,3.38
spruce grove,75,82,53.55,66.2,6.93
gamba,12,100,28.28,37.23,2.93
cidreira,0,86,-30.17,46.81,6.06
gairatganj,92,100,23.42,72.42,4.61
taoudenni,68,31,22.68,84.3,2.37
milkovo,0,93,41.53,66.85,1.81
hashtrud,24,86,37.48,57.52,5.61
narsaq,0,65,60.91,46.4,3.36
tecpan,40,77,14.76,66.2,16.11
victoria,75,78,5.28,85.15,3.36
teguldet,36,76,57.31,58.42,4.05
crnomelj,90,93,45.57,70.93,1.92
katsuura,20,62,33.93,87.8,5.82
bilma,32,50,18.69,83.58,9.98
saint anthony,1,40,43.97,66.04,2.59
buluang,90,135,10.47,68,16.11
lasa,40,78,34.92,76.32,4.7
kulhudhuffushi,92,100,6.62,81.24,18.7
santa rosa,56,52,-36.62,62.34,12.33
havelock,1,100,34.88,79.16,5.82
norman wells,75,63,65.28,60.8,10.29
bonavista,88,96,48.65,58.83,13.22
terrace,75,32,54.52,80.6,12.75
jardim,0,95,-21.48,58.92,8.97
port hardy,20,82,50.7,59,6.93
wanlaweyn,88,92,2.62,71.7,7.4
nhulunbuy,75,61,-12.18,80.6,16.11
zhangjiakou,92,100,40.77,69.76,3.71
tilichiki,20,69,60.47,63.24,6.62
shahr-e babak,0,33,30.12,69.63,11.99
yumen,0,44,40.29,80.74,4.16
eureka,75,93,40.8,55.4,5.06
bandarbeyla,0,91,9.49,78.54,27.54
kailua,1,62,21.39,83.73,8.05
ust-koksa,76,61,50.27,59.82,2.37
ostrovnoy,20,88,68.05,45.87,13.22
vanimo,20,100,-2.67,82.23,6.29
iquitos,40,94,-3.75,75.2,4.7
pocone,8,95,-16.26,67.87,3.94
skagen,92,77,58.6,59.86,2.24
san rafael,20,76,-34.61,39.48,2.82
rundu,0,50,-17.91,57.03,3.94
lompoc,1,63,34.64,68.97,12.75
tessalit,0,66,20.2,76.56,6.4
bagan,0,62,54.1,65.13,8.3
tandalti,32,88,13.01,72.82,7.18
belousovka,40,64,50.13,68,4.47
bunia,56,92,1.56,61.84,1.36
lesnoy,68,91,59.78,62.34,6.17
fortuna,0,83,38.18,76.1,2.24
udachnyy,36,55,66.42,63.69,3.38
santa cruz,1,72,36.97,71.42,5.82
makakilo city,20,48,21.35,83.75,9.17
clyde river,1,75,70.47,42.8,9.17
manggar,0,69,-2.88,87,12.33
lavrentiya,36,100,65.58,44.74,4.72
atar,0,48,20.52,82.95,7.4
saint-augustin,0,60,44.83,74.21,8.05
champerico,75,73,16.38,73.4,2.37
cooma,0,53,-36.24,45.33,17.02
bail hongal,100,99,15.82,69.67,12.77
hami,0,49,42.84,84.93,9.31
lukovetskiy,40,100,64.29,50,6.71
geraldton,90,93,49.72,51.8,3.36
istok,0,86,52.85,55.05,6.17
rabo de peixe,75,68,37.8,69.8,5.82
muttupet,12,77,10.4,83.71,7.85
paamiut,44,88,61.99,44.29,20.27
jinchang,80,87,38.52,62.88,4.61
nemuro,75,77,43.32,59,6.93
naze,68,96,5.43,69.49,5.17
sabang,92,93,13.72,81.01,15.68
mecca,8,85,21.43,70.53,2.26
adrar,0,18,27.87,87.8,10.29
harper,1,58,30.3,85.03,5.82
novyy urengoy,76,77,66.08,55.59,16.46
sampit,8,76,-2.54,85.47,11.21
henties bay,0,100,-22.12,52.26,9.42
kavaratti,76,98,10.57,81.96,24.29
tiksi,8,78,71.64,50.19,14.67
labuhan,0,75,-2.54,83.04,3.6
sorland,92,100,67.67,53.29,5.17
judayta,40,88,32.41,68.92,2.26
vidim,0,67,50.47,59,4.61
sitka,56,35,37.17,86.77,10.2
broken hill,0,58,-31.97,59.1,14
hithadhoo,36,100,-0.6,79.21,9.64
berdigestyakh,0,67,62.1,69.63,3.71
teacapan,92,87,22.54,78.76,0.36
noumea,0,50,-22.28,77,11.41
pereslavl-zalesskiy,68,77,56.74,60.99,9.64
ballina,76,100,54.11,51.72,7.74
lufilufi,75,65,-13.87,80.6,10.29
ucluelet,0,70,48.94,68.82,1.59
vestmannaeyjar,20,84,63.44,50.32,18.37
lowestoft,0,88,52.48,64.4,4.7
klaksvik,44,93,62.23,50,8.05
port macquarie,0,24,-31.43,66.2,16.11
nanchang,0,79,28.68,91.05,4.27
skjervoy,88,100,70.03,49.65,15.23
nogliki,32,81,51.8,61.71,2.82
kvitok,8,63,56.08,61.71,3.27
nianzishan,20,95,47.51,75.39,4.61
kochki,0,72,54.33,61.08,6.73
mantua,0,73,45.16,75.31,3.36
isangel,0,100,-19.55,72.24,9.64
bedesa,24,85,8.9,52.35,2.59
aykhal,76,53,65.95,62.25,4.83
cascais,75,82,38.7,68.92,14.99
manati,0,88,41.76,69.8,4.7
brits,0,42,-25.63,44.6,4.72
bo phloi,12,77,14.32,84.48,7.52
cururupu,0,90,-1.82,76.83,7.29
kurilsk,0,89,45.23,57.75,7.07
zhigansk,0,54,66.77,66.16,3.6
ilulissat,92,70,69.22,44.6,1.12
trinidad,0,88,-33.52,49.24,11.99
valparaiso,40,94,41.47,73.15,6.17
lata,64,100,30.78,62.52,1.59
lubao,75,79,14.94,84.2,9.17
mosjoen,0,93,65.84,50.85,8.05
mulege,12,51,26.88,89.43,4.05
espanola,24,96,46.27,66.03,4.05
the valley,40,78,18.22,82.4,10.29
lorengau,80,100,-2.02,80.74,6.17
george town,75,74,5.42,86,6.93
aberdeen,1,88,45.47,68,5.82
areia branca,40,73,-10.76,77,9.17
lewisporte,90,93,49.25,64.4,11.41
neuquen,0,76,-38.95,51.8,14.67
los llanos de aridane,0,78,28.66,73.4,13.87
cayenne,75,100,4.94,75.2,7.96
kavieng,48,100,-2.57,80.92,3.38
clarence town,0,49,-32.59,64.4,24.16
dubbo,75,43,-32.25,55.4,12.75
umea,0,93,63.83,48.2,3.36
russell,0,61,-33.01,50,4.7
haines junction,88,57,60.75,58.38,4.5
namibe,0,100,-15.19,63.64,13.33
barinas,8,80,8.64,77.59,6.17
samdari,36,64,25.81,82.54,12.21
christchurch,8,81,-43.53,53.6,11.41
fort nelson,75,38,58.81,73.4,4.7
viedma,76,49,-40.81,55.77,9.75
urambo,0,55,-5.07,65.71,5.39
boca do acre,0,81,-8.76,74.76,3.71
nara,75,55,34.68,90.93,3.36
agbor,64,84,6.26,73.99,5.17
juruti,0,67,-2.16,80.43,2.82
riyadh,0,19,24.63,86,5.82
christiana,0,49,-27.91,38.22,8.75
sunrise manor,1,7,36.21,100.04,6.93
moron,20,83,10.49,80.6,2.71
severo-yeniseyskiy,64,87,60.37,51.94,3.27
vanavara,56,51,60.35,59.73,4.16
damghan,0,62,36.17,70.12,3.71
charters towers,80,63,-20.07,61.26,13
progreso,0,76,-34.68,53.6,9.17
port-cartier,90,100,50.03,62.6,2.24
newport,48,100,51.59,59.65,6.93
saskylakh,0,72,71.97,65.26,8.97
ambon,0,77,47.55,68,4.7
obihiro,75,63,42.92,62.6,2.24
mwinilunga,0,72,-11.73,54.01,2.26
tazovskiy,76,77,67.47,55.5,16.46
morant bay,20,74,17.88,84.2,16.11
kenai,90,82,60.55,61.72,16.11
roma,0,69,41.89,72.48,4.7
yulara,0,28,-25.24,59,4.7
sidi ali,0,74,36.1,66.39,2.93
halifax,90,94,44.65,69.8,10.42
urucara,0,56,-2.54,81.87,4.38
codrington,0,48,-28.95,63.15,8.19
teguise,20,83,29.06,73.4,18.34
kodiak,1,94,39.95,69.8,5.28
hare bay,90,93,48.86,64.4,11.41
srednekolymsk,0,58,67.46,54.06,4.27
longyearbyen,0,61,78.22,46.4,2.48
ponta delgada,75,68,37.73,69.8,5.82
esil,0,76,51.96,69.63,4.61
oistins,40,83,13.07,80.6,20.8
chabahar,64,100,25.29,85.47,5.17
golden,36,54,51.3,60.27,2.15
nazret,92,95,8.55,58.38,3.04
iseyin,92,91,7.97,71.25,8.75
chunoyar,48,58,57.45,58.38,2.59
dhidhdhoo,92,100,6.88,81.24,18.7
casablanca,0,94,33.6,73.4,4.7
northam,92,87,51.04,60.8,3.36
misratah,0,99,32.38,77.41,10.2
pochutla,8,100,15.74,81.64,6.73
eyl,0,78,7.98,77.59,18.37
acapulco,75,78,16.86,82.4,3.36
shubarkuduk,0,68,49.15,77.46,4.05
nanae,75,72,41.94,68,20.8
elko,1,16,40.83,78.8,3.15
kalaleh,76,86,37.38,76.06,4.16
pueblo,75,78,38.25,66.54,5.82
isla mujeres,40,83,21.23,82.4,4.7
shimoda,75,83,34.7,81.18,26.4
baran,80,88,25.1,80.25,3.71
sestri levante,0,61,44.27,80.6,8.05
puerto escondido,32,100,15.86,83.58,5.95
robe,20,84,7.12,42.18,2.71
ancud,12,93,-41.87,43.44,5.95
vetlanda,0,93,57.43,55.4,2.24
phalodi,64,64,27.13,83.44,11.88
general pico,92,45,-35.66,67.96,22.06
prachuap khiri khan,68,87,11.81,78.18,9.19
imeni zhelyabova,20,78,58.95,58.29,9.08
nanortalik,0,97,60.14,40.69,9.75
pierre,90,43,44.37,73.4,9.17
kloulklubed,75,74,7.04,86,12.75
tagusao,64,96,9.19,79.66,18.92
yaan,92,99,7.38,71.56,7.52
hoima,88,93,1.43,65.04,2.48
chippewa falls,1,93,44.94,65.77,5.06
wajima,75,74,37.4,78.8,2.24
moose factory,90,87,51.26,48.2,3.36
sao joao da barra,100,100,-21.64,68.28,22.5
mareeba,40,69,-16.99,80.6,10.29
houma,76,76,35.63,83.13,3.38
santo andre,0,89,-0.91,76.51,6.4
visby,92,63,57.64,66.2,6.93
sioux lookout,40,100,50.1,51.64,2.82
payson,1,41,40.04,75.11,11.41
umm lajj,0,100,25.02,77.55,2.59
qaqortoq,0,65,60.72,46.4,3.36
pleven,44,79,43.41,64.86,2.71
povoa de varzim,90,93,41.38,65.37,11.41
temba,0,42,-25.38,44.6,2.71
katol,40,74,21.28,82.4,5.82
frankfort,1,83,38.2,77.95,3.36
westport,92,95,53.8,55.5,10.54
kapit,12,71,2.02,85.92,2.15
katherine,0,25,-14.47,86,13.87
mendoza,0,61,-32.89,50,4.7
vizianagaram,92,76,18.12,84.07,5.73
caibarien,56,83,22.52,77,4.7
porto seguro,75,88,-16.44,73.4,3.36
linhares,80,92,-19.38,70.98,2.59
padang,40,66,-0.92,86,4.7
rabak,24,96,13.18,71.25,3.83
tikrit,0,30,34.62,83.04,11.21
mehtar lam,40,62,34.67,89.6,2.24
kurtamysh,80,99,54.91,66.03,8.41
paita,0,84,-5.09,66.48,7.4
shache,0,38,38.42,77.41,5.61
okhotsk,44,94,59.36,58.69,6.96
robertsport,88,100,6.75,76.92,8.41
thanh hoa,92,100,10.21,75.03,4.38
tucupita,36,82,9.06,79.62,7.4
anadyr,75,87,64.73,55.4,8.95
algiers,75,100,29.94,80.6,5.95
baykalsk,92,100,51.52,55.32,7.96
piney green,40,94,35.09,75.61,5.61
cabinda,44,99,-5.56,70.08,5.95
yatou,75,100,3.63,73.4,2.24
sechura,0,86,-5.56,67.38,12.77
yueyang,8,67,29.36,91.14,5.39
tahoua,80,94,14.89,70.17,7.85
ust-kut,0,60,56.78,61.08,3.38
tigre,0,71,-34.42,57.25,8.05
amursk,64,65,50.23,74.89,3.83
pangnirtung,92,96,66.15,41.19,4.27
kaeo,36,83,-35.1,59.19,4.94
huntington,1,83,40.87,80.6,6.93
mucurapo,20,88,10.67,78.8,5.82
sunbury,1,88,40.86,74.57,3.36
palencia,0,38,42.01,66.39,7.29
cabo san lucas,5,69,22.89,82.4,14.99
vestmanna,64,93,62.16,50,8.05
madang,64,94,-5.21,79.57,4.27
itapetininga,92,99,-23.59,57.12,8.63
lyuban,0,71,52.8,64.09,9.42
athens,1,78,34.8,74.17,4.16
usinsk,92,100,66,54.46,4.05
doka,64,97,13.52,67.42,7.74
marsabit,0,68,2.34,67.11,10.76
samarai,76,100,-10.62,78.18,7.85
hamilton,75,94,43.26,72.99,5.82
alice springs,0,23,-23.7,60.8,5.82
poyarkovo,8,65,49.62,79.35,4.61
road town,1,78,18.42,82.4,8.05
bolshaya rechka,90,100,51.95,51.8,8.95
arauco,75,87,-37.25,50,9.17
ishigaki,20,70,24.34,87.8,11.41
kiama,40,35,-34.67,57.2,33.33
lipari,0,95,38.47,81.51,4.61
pacific grove,1,67,36.62,68.18,3.36
soyo,92,96,-6.13,67.83,3.27
ciudad bolivar,12,67,8.12,82.36,11.21
bilibino,24,47,68.06,60.45,4.27
eldorado,90,83,24.32,75.2,11.41
krasnaya polyana,0,89,45.47,65.4,2.71
manitowoc,1,83,44.09,69.06,3.36
pisco,90,82,-13.71,62.6,5.82
richards bay,0,85,-28.77,55.77,7.29
urengoy,68,94,65.96,55.54,16.8
denpasar,75,74,-8.65,80.6,12.75
